event_time,event_name,event_source,source_ip,user_identity,region,error_code,is_anomaly
2025-11-01T00:46:46Z,AssumeRoleWithSAML,sts.amazonaws.com,203.0.113.42,arn:aws:iam::123456789012:user/test-admin,us-west-2,,1
2025-11-01T04:32:31Z,DeleteBucket,s3.amazonaws.com,203.0.113.42,arn:aws:iam::123456789012:user/developer-carol,us-west-2,,1
2025-11-01T09:42:14Z,Query,dynamodb.amazonaws.com,10.0.1.22,arn:aws:iam::123456789012:user/ops-dave,us-east-1,,0
2025-11-01T10:59:24Z,HeadObject,s3.amazonaws.com,10.0.2.45,arn:aws:iam::123456789012:user/analyst-frank,us-west-2,,0
2025-11-01T11:15:47Z,AssumeRole,sts.amazonaws.com,54.239.28.85,arn:aws:iam::123456789012:role/lambda-execution-role,ap-southeast-1,,0
2025-11-01T11:48:10Z,AssumeRoleWithSAML,sts.amazonaws.com,104.248.50.87,arn:aws:iam::123456789012:role/ecs-task-role,us-east-1,AccessDenied,1
2025-11-01T12:45:41Z,DescribeAlarms,cloudwatch.amazonaws.com,10.0.3.19,arn:aws:iam::123456789012:user/ops-dave,ap-southeast-1,ThrottlingException,0
2025-11-01T12:52:02Z,Query,dynamodb.amazonaws.com,10.0.3.19,arn:aws:iam::123456789012:user/ops-erin,us-east-1,,0
2025-11-01T13:09:13Z,Query,dynamodb.amazonaws.com,10.0.1.22,arn:aws:iam::123456789012:user/developer-bob,ap-southeast-1,,0
2025-11-01T13:29:40Z,Query,dynamodb.amazonaws.com,10.0.1.33,arn:aws:iam::123456789012:user/analyst-frank,eu-west-1,,0
2025-11-01T13:44:59Z,DescribeAlarms,cloudwatch.amazonaws.com,10.0.1.22,arn:aws:iam::123456789012:user/developer-carol,us-west-2,,0
2025-11-01T13:51:55Z,GetBucketLocation,s3.amazonaws.com,192.168.1.100,arn:aws:iam::123456789012:user/developer-carol,ap-southeast-1,,0
2025-11-01T14:13:41Z,GetFunction,lambda.amazonaws.com,192.168.1.102,arn:aws:iam::123456789012:role/ecs-task-role,us-west-2,,0
2025-11-01T14:54:22Z,AssumeRole,sts.amazonaws.com,192.168.1.100,arn:aws:iam::123456789012:user/developer-alice,ap-southeast-1,,0
2025-11-01T16:24:17Z,DescribeAlarms,cloudwatch.amazonaws.com,172.16.0.12,arn:aws:iam::123456789012:user/ops-dave,eu-west-1,,0
2025-11-01T17:48:17Z,Query,dynamodb.amazonaws.com,10.0.1.22,arn:aws:iam::123456789012:user/ops-erin,ap-southeast-1,,0
2025-11-01T19:04:25Z,AddPermission,lambda.amazonaws.com,45.33.32.156,arn:aws:iam::123456789012:root,us-east-1,,1
2025-11-02T09:03:37Z,Invoke,lambda.amazonaws.com,192.168.1.102,arn:aws:iam::123456789012:role/ci-cd-pipeline-role,us-west-2,,0
2025-11-02T10:03:25Z,ListMetrics,cloudwatch.amazonaws.com,192.168.1.100,arn:aws:iam::123456789012:user/developer-bob,us-west-2,,0
2025-11-02T10:05:46Z,ListFunctions,lambda.amazonaws.com,192.168.1.100,arn:aws:iam::123456789012:role/ci-cd-pipeline-role,us-west-2,,0
2025-11-02T10:06:42Z,GetFunction,lambda.amazonaws.com,10.0.3.19,arn:aws:iam::123456789012:role/lambda-execution-role,ap-southeast-1,,0
2025-11-02T10:28:51Z,DescribeTable,dynamodb.amazonaws.com,10.0.1.22,arn:aws:iam::123456789012:user/developer-alice,us-east-1,,0
2025-11-02T11:46:59Z,AssumeRole,sts.amazonaws.com,10.0.2.10,arn:aws:iam::123456789012:role/ecs-task-role,ap-southeast-1,,0
2025-11-02T12:00:04Z,DescribeAlarms,cloudwatch.amazonaws.com,10.0.1.15,arn:aws:iam::123456789012:user/ops-dave,us-east-1,,0
