timestamp,src_ip,dst_ip,src_port,dst_port,protocol,bytes_transferred,packets,action,is_anomaly
2025-11-01T06:45:47Z,198.51.100.77,10.0.2.247,52423,1337,TCP,22736,32,ACCEPT,1
2025-11-01T10:18:17Z,10.0.1.135,172.16.1.28,36768,443,UDP,119974,91,ACCEPT,0
2025-11-01T13:21:33Z,172.16.0.44,10.0.2.219,38020,5432,TCP,70351,80,ACCEPT,0
2025-11-01T14:11:03Z,10.0.1.211,10.0.1.98,42825,443,TCP,134394,99,ACCEPT,0
2025-11-01T14:38:32Z,10.0.3.149,10.0.2.98,36931,80,UDP,16110,23,ACCEPT,0
2025-11-01T15:16:59Z,172.16.0.217,10.0.3.221,58038,443,TCP,24431,19,ACCEPT,0
2025-11-01T15:37:02Z,10.0.2.2,10.0.1.233,40915,8080,TCP,88574,142,ACCEPT,0
2025-11-01T17:49:05Z,10.0.3.34,10.0.1.225,42867,53,TCP,28622,23,ACCEPT,0
2025-11-01T18:25:12Z,172.16.1.105,10.0.3.154,59552,5432,TCP,91027,164,ACCEPT,0
2025-11-01T18:38:04Z,172.16.1.171,10.0.1.78,65203,5432,TCP,10901,11,REJECT,0
2025-11-02T09:21:29Z,172.16.0.179,10.0.3.129,41900,443,TCP,93956,111,ACCEPT,0
2025-11-02T14:07:21Z,10.0.3.68,172.16.1.36,42690,8443,TCP,62060,114,ACCEPT,0
2025-11-02T14:09:15Z,10.0.1.29,10.0.2.33,59997,8443,TCP,111500,183,ACCEPT,0
2025-11-02T14:52:24Z,10.0.2.17,172.16.0.130,36780,443,TCP,6288,5,ACCEPT,0
2025-11-02T15:40:09Z,10.0.3.147,172.16.0.78,64286,27017,TCP,143852,144,ACCEPT,0
2025-11-02T15:44:59Z,10.0.3.216,10.0.1.125,55027,8080,TCP,58597,114,ACCEPT,0
2025-11-02T16:56:58Z,172.16.1.222,172.16.1.245,40077,53,TCP,69136,95,ACCEPT,0
